filename,zone,year,month,bytes
Zone18_2013_10.gdb.zip,18,2013,10,1013627687
Zone18_2013_11.gdb.zip,18,2013,11,763061244
Zone18_2013_12.gdb.zip,18,2013,12,637941330
Zone19_2013_01.gdb.zip,19,2013,01,123664375
Zone19_2013_02.gdb.zip,19,2013,02,110325394
Zone19_2013_03.gdb.zip,19,2013,03,119156568
Zone19_2013_04.gdb.zip,19,2013,04,118768298
Zone19_2013_05.gdb.zip,19,2013,05,161537261
Zone19_2013_06.gdb.zip,19,2013,06,217372328
Zone19_2013_07.gdb.zip,19,2013,07,292463279
Zone19_2013_08.gdb.zip,19,2013,08,386136636
Zone19_2013_09.gdb.zip,19,2013,09,294400239
Zone19_2013_10.gdb.zip,19,2013,10,222206156
Zone19_2013_11.gdb.zip,19,2013,11,143727053
Zone19_2013_12.gdb.zip,19,2013,12,117756106
Zone18_2014_01.zip,18,2014,01,595119138
Zone18_2014_02.zip,18,2014,02,559157731
Zone18_2014_03.zip,18,2014,03,599729782
Zone18_2014_04.zip,18,2014,04,705307437
Zone18_2014_05.zip,18,2014,05,678028807
Zone18_2014_06.zip,18,2014,06,606620071
Zone18_2014_07.zip,18,2014,07,493944281
Zone18_2014_08.zip,18,2014,08,384220814
Zone18_2014_09.zip,18,2014,09,345305734
Zone18_2014_10.zip,18,2014,10,261756415
Zone18_2014_11.zip,18,2014,11,70299338
Zone18_2014_12.zip,18,2014,12,731490566
Zone19_2014_01.zip,19,2014,01,114240524
Zone19_2014_02.zip,19,2014,02,118064898
Zone19_2014_03.zip,19,2014,03,135557096
Zone19_2014_04.zip,19,2014,04,157105307
Zone19_2014_05.zip,19,2014,05,133470432
Zone19_2014_06.zip,19,2014,06,144081208
Zone19_2014_07.zip,19,2014,07,112049206
Zone19_2014_08.zip,19,2014,08,68336956
Zone19_2014_09.zip,19,2014,09,51022616
Zone19_2014_10.zip,19,2014,10,46288691
Zone19_2014_11.zip,19,2014,11,34906788
Zone19_2014_12.zip,19,2014,12,160999943
AIS_2015_01_Zone18.zip,18,2015,01,593630607
AIS_2015_01_Zone19.zip,19,2015,01,112225323
AIS_2015_02_Zone18.zip,18,2015,02,527469735
AIS_2015_02_Zone19.zip,19,2015,02,102685954
AIS_2015_03_Zone18.zip,18,2015,03,683239606
AIS_2015_03_Zone19.zip,19,2015,03,125736589
AIS_2015_04_Zone18.zip,18,2015,04,716435798
AIS_2015_04_Zone19.zip,19,2015,04,148852021
AIS_2015_05_Zone18.zip,18,2015,05,929859817
AIS_2015_05_Zone19.zip,19,2015,05,216374969
AIS_2015_06_Zone18.zip,18,2015,06,997014962
AIS_2015_06_Zone19.zip,19,2015,06,288292012
AIS_2015_07_Zone18.zip,18,2015,07,921931289
AIS_2015_07_Zone19.zip,19,2015,07,386594532
AIS_2015_08_Zone18.zip,18,2015,08,924268741
AIS_2015_08_Zone19.zip,19,2015,08,391198815
AIS_2015_09_Zone18.zip,18,2015,09,808314787
AIS_2015_09_Zone19.zip,19,2015,09,266315730
AIS_2015_10_Zone18.zip,18,2015,10,991402210
AIS_2015_10_Zone19.zip,19,2015,10,222722285
AIS_2015_11_Zone18.zip,18,2015,11,675953272
AIS_2015_11_Zone19.zip,19,2015,11,130866831
AIS_2015_12_Zone18.zip,18,2015,12,683007581
AIS_2015_12_Zone19.zip,19,2015,12,128651907
AIS_2016_01_Zone18.zip,18,2016,01,646249871
AIS_2016_01_Zone19.zip,19,2016,01,135331497
AIS_2016_02_Zone18.zip,18,2016,02,669926609
AIS_2016_02_Zone19.zip,19,2016,02,145364108
AIS_2016_03_Zone18.zip,18,2016,03,790682913
AIS_2016_03_Zone19.zip,19,2016,03,171550700
AIS_2016_04_Zone18.zip,18,2016,04,812235450
AIS_2016_04_Zone19.zip,19,2016,04,178651699
AIS_2016_05_Zone18.zip,18,2016,05,1002193283
AIS_2016_05_Zone19.zip,19,2016,05,213615531
AIS_2016_06_Zone18.zip,18,2016,06,1077595036
AIS_2016_06_Zone19.zip,19,2016,06,317724962
AIS_2016_07_Zone18.zip,18,2016,07,1085481626
AIS_2016_07_Zone19.zip,19,2016,07,443116107
AIS_2016_08_Zone18.zip,18,2016,08,1053082935
AIS_2016_08_Zone19.zip,19,2016,08,453207563
AIS_2016_09_Zone18.zip,18,2016,09,1020229054
AIS_2016_09_Zone19.zip,19,2016,09,312968367
AIS_2016_10_Zone18.zip,18,2016,10,1025265675
AIS_2016_10_Zone19.zip,19,2016,10,235793010
AIS_2016_11_Zone18.zip,18,2016,11,843872142
AIS_2016_11_Zone19.zip,19,2016,11,161227332
AIS_2016_12_Zone18.zip,18,2016,12,722643913
AIS_2016_12_Zone19.zip,19,2016,12,135779184
AIS_2017_01_Zone18.zip,18,2017,01,700626657
AIS_2017_01_Zone19.zip,19,2017,01,138513932
AIS_2017_02_Zone18.zip,18,2017,02,615123168
AIS_2017_02_Zone19.zip,19,2017,02,126300194
AIS_2017_03_Zone18.zip,18,2017,03,687658606
AIS_2017_03_Zone19.zip,19,2017,03,151090488
AIS_2017_04_Zone18.zip,18,2017,04,845302110
AIS_2017_04_Zone19.zip,19,2017,04,157799732
AIS_2017_05_Zone18.zip,18,2017,05,1063371547
AIS_2017_05_Zone19.zip,19,2017,05,218805989
AIS_2017_06_Zone18.zip,18,2017,06,1171617822
AIS_2017_06_Zone19.zip,19,2017,06,328350328
AIS_2017_07_Zone18.zip,18,2017,07,1164902309
AIS_2017_07_Zone19.zip,19,2017,07,482248943
AIS_2017_08_Zone18.zip,18,2017,08,1113744560
AIS_2017_08_Zone19.zip,19,2017,08,512992503
AIS_2017_09_Zone18.zip,18,2017,09,1106016658
AIS_2017_09_Zone19.zip,19,2017,09,331049190
AIS_2017_10_Zone18.zip,18,2017,10,1153513983
AIS_2017_10_Zone19.zip,19,2017,10,245228728
AIS_2017_11_Zone18.zip,18,2017,11,1028050509
AIS_2017_11_Zone19.zip,19,2017,11,169883975
AIS_2017_12_Zone18.zip,18,2017,12,895324291
AIS_2017_12_Zone19.zip,19,2017,12,143283263
